"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"(((a) M (b)) U (X(c))) W (G(d))","ltl3ba","ok",0,0.0110997,7,24,110,2,4,5,1,0
"(((a) M (b)) U (X(c))) W (G(d))","ltl2tgba-G","ok",0,0.0123254,7,24,96,2,4,5,1,0
"(((a) M (b)) U (X(c))) W (G(d))","ltl2tgba","ok",0,0.0104763,7,24,96,2,4,5,1,0
"(((a) M (b)) U (X(c))) W (G(d))","ltl3tela","ok",0,0.0429134,7,24,96,2,4,5,1,0
"((G(a)) M (F(b))) R ((c) | (F(d)))","ltl3ba","ok",0,0.00957142,8,34,160,3,7,4,1,0
"((G(a)) M (F(b))) R ((c) | (F(d)))","ltl2tgba-G","ok",0,0.00998577,5,15,92,1,4,3,1,0
"((G(a)) M (F(b))) R ((c) | (F(d)))","ltl2tgba","ok",0,0.00906355,5,15,92,1,4,3,1,0
"((G(a)) M (F(b))) R ((c) | (F(d)))","ltl3tela","ok",0,0.0304183,5,15,92,1,4,3,1,0
"F((a) | ((b) & ((!(b)) | (c) | ((d) R (a)))))","ltl3ba","ok",0,0.0104025,2,3,32,1,2,0,0,1
"F((a) | ((b) & ((!(b)) | (c) | ((d) R (a)))))","ltl2tgba-G","ok",0,0.00778523,2,3,16,1,2,0,0,1
"F((a) | ((b) & ((!(b)) | (c) | ((d) R (a)))))","ltl2tgba","ok",0,0.00700159,2,3,16,1,2,0,0,1
"F((a) | ((b) & ((!(b)) | (c) | ((d) R (a)))))","ltl3tela","ok",0,0.0077379,2,3,16,1,2,0,0,1
"X(((a) & (F(b))) U (!(a)))","ltl3ba","ok",0,0.00972819,5,11,20,2,4,0,0,1
"X(((a) & (F(b))) U (!(a)))","ltl2tgba-G","ok",0,0.0066945,5,11,20,1,4,0,0,1
"X(((a) & (F(b))) U (!(a)))","ltl2tgba","ok",0,0.00653591,5,11,20,1,4,0,0,1
